11/26/2019 13:35:46 INFO 	Go Go Go!
11/26/2019 13:35:47 INFO 	Add a homogenized solution reference.
11/26/2019 13:35:47 INFO 	Add a homogenized solution reference.
11/26/2019 13:35:47 INFO 	Add a homogenized solution reference.
11/26/2019 13:35:47 INFO 	Add a homogenized solution reference.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=0, current object value=0.07813, coefficient descends 0.01235, opt cycle consuming time=0.029.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=1, current object value=0.07770, coefficient descends 0.01233, opt cycle consuming time=0.023.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=2, current object value=0.07728, coefficient descends 0.01231, opt cycle consuming time=0.023.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=3, current object value=0.07685, coefficient descends 0.01229, opt cycle consuming time=0.021.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=4, current object value=0.07643, coefficient descends 0.01226, opt cycle consuming time=0.021.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=5, current object value=0.07601, coefficient descends 0.01224, opt cycle consuming time=0.019.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=6, current object value=0.07560, coefficient descends 0.01222, opt cycle consuming time=0.018.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=7, current object value=0.07518, coefficient descends 0.01220, opt cycle consuming time=0.018.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=8, current object value=0.07477, coefficient descends 0.01217, opt cycle consuming time=0.023.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=9, current object value=0.07436, coefficient descends 0.01215, opt cycle consuming time=0.017.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=10, current object value=0.07395, coefficient descends 0.01213, opt cycle consuming time=0.018.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=11, current object value=0.07354, coefficient descends 0.01211, opt cycle consuming time=0.023.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=12, current object value=0.07314, coefficient descends 0.01208, opt cycle consuming time=0.022.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=13, current object value=0.07273, coefficient descends 0.01206, opt cycle consuming time=0.021.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 13:35:47 INFO 	Optimization step index=14, current object value=0.07233, coefficient descends 0.01204, opt cycle consuming time=0.018.
11/26/2019 13:35:47 INFO 		Projection performed, 100.00% elems have been shifted.
