11/26/2019 11:54:42 INFO 	Go Go Go!
11/26/2019 11:54:43 INFO 	Add a homogenized solution reference.
11/26/2019 11:54:43 INFO 	Add a homogenized solution reference.
11/26/2019 11:54:43 INFO 	Add a homogenized solution reference.
11/26/2019 11:54:43 INFO 	Add a homogenized solution reference.
11/26/2019 11:54:43 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 11:54:43 INFO 	Optimization step index=0, coefficient descends 0.01115, opt cycle consuming time=0.028.
11/26/2019 11:54:43 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 11:54:43 INFO 	Optimization step index=1, coefficient descends 0.01113, opt cycle consuming time=0.016.
11/26/2019 11:54:43 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 11:54:43 INFO 	Optimization step index=2, coefficient descends 0.01111, opt cycle consuming time=0.053.
11/26/2019 11:54:43 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 11:54:43 INFO 	Optimization step index=3, coefficient descends 0.01110, opt cycle consuming time=0.024.
11/26/2019 11:54:43 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 11:54:43 INFO 	Optimization step index=4, coefficient descends 0.01108, opt cycle consuming time=0.016.
11/26/2019 11:54:43 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 11:54:43 INFO 	Optimization step index=5, coefficient descends 0.01106, opt cycle consuming time=0.016.
11/26/2019 11:54:43 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 11:54:43 INFO 	Optimization step index=6, coefficient descends 0.01105, opt cycle consuming time=0.017.
11/26/2019 11:54:43 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 11:54:43 INFO 	Optimization step index=7, coefficient descends 0.01103, opt cycle consuming time=0.017.
11/26/2019 11:54:43 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 11:54:43 INFO 	Optimization step index=8, coefficient descends 0.01101, opt cycle consuming time=0.017.
11/26/2019 11:54:43 INFO 		Projection performed, 100.00% elems have been shifted.
11/26/2019 11:54:43 INFO 	Optimization step index=9, coefficient descends 0.01100, opt cycle consuming time=0.017.
11/26/2019 11:54:43 INFO 		Projection performed, 100.00% elems have been shifted.
